Christian McCaffrey,CAR,RB1,
Saquon Barkley,NYG,RB2,
Ezekiel Elliott,DAL,RB3,
Derrick Henry,TEN,RB6,
Dalvin Cook,MIN,RB5,
Alvin Kamara,NO,RB4,
Michael Thomas,NO,WR1,
Davante Adams,GB,WR2,GB might not have a WR 2
Tyreek Hill,KC,WR3,
Josh Jacobs,LV,RB10,
Julio Jones,ATL,WR4,
Joe Mixon,CIN,RB7,Workload and strength of schedule is there
Miles Sanders,PHI,RB8,"Receptions, workload all looks good.  Strength of schedule puts behind Mixon"
Nick Chubb,CLE,RB11,
Aaron Jones,GB,RB13,"4th overall, great offense... I mean"
Kenyan Drake,ARI,RB12,
Clyde Edwards-Helaire,KC,RB9,"First reps in practice, Mahommes favorite, other RBs gone"
DeAndre Hopkins,ARI,WR5,
Travis Kelce,KC,TE1,
George Kittle,SF,TE2,
Chris Godwin,TB,WR6,
Kenny Golladay,DET,WR7,Monster and got his QB back
Mike Evans,TB,WR9,Brady gonna hit him up like Moss
Austin Ekeler,LAC,RB14,
Allen Robinson,CHI,WR8,"Kuup, Cooper, Edelman, Parker out scored"
Leonard Fournette,JAC,RB17,Catches and SoS are insane.  tied Chubb for pts
Amari Cooper,DAL,WR12,
Adam Thielen,MIN,WR14,no more diggs and a solid offense
Odell Beckham Jr.,CLE,WR13,
Lamar Jackson,BAL,QB2,
Patrick Mahomes,KC,QB1,
Chris Carson,SEA,RB15,
James Conner,PIT,RB18,"SoS is amazing, Ben is back..."
Calvin Ridley,ATL,WR17,
Cooper Kupp,LAR,WR18,
JuJu Smith-Schuster,PIT,WR10,
Melvin Gordon,DEN,RB19,
Robert Woods,LAR,WR15,
A.J. Brown,TEN,WR16,
Le'Veon Bell,NYJ,RB20,bad team bad coach
D.J. Moore,CAR,WR11,
Mark Andrews,BAL,TE3,
David Johnson,HOU,RB21,
Todd Gurley,ATL,RB16,Hurt in practice
Tyler Lockett,SEA,WR19,
Zach Ertz,PHI,TE4,
Terry McLaurin,WAS,WR20,
D.J. Chark,JAC,WR21,
Mark Ingram II,BAL,RB22,
Keenan Allen,LAC,WR22,
David Montgomery,CHI,RB23,
T.Y. Hilton,IND,WR26,
Courtland Sutton,DEN,WR23,
Jonathan Taylor,IND,RB24,"SoS, news look good"
Dak Prescott,DAL,QB3,
Devin Singletary,BUF,RB25,
Darren Waller,LV,TE5,
Kyler Murray,ARI,QB4,
