1,Christian McCaffrey,1,RB,1,5,1.1,0
2,Saquon Barkley,1,RB,1,5,2.12,0
3,Ezekiel Elliott,1,RB,1,7,3.51,1
4,Alvin Kamara,1,RB,1,23,4.76,2
5,Michael Thomas,1,WR,2,14,5.06,2
6,Dalvin Cook,1,RB,2,50,7.32,3
7,Derrick Henry,2,RB,2,28,8.25,3
8,Davante Adams,2,WR,3,19,8.49,2
9,Julio Jones,2,WR,3,24,11.84,3
10,Tyreek Hill,2,WR,3,24,12.13,3
11,Joe Mixon,2,RB,6,34,12.6,6
12,Clyde Edwards-Helaire,3,RB,4,79,15.19,12
13,DeAndre Hopkins,3,WR,8,29,16.07,5
14,Nick Chubb,3,RB,8,67,17.29,8
15,Travis Kelce,3,TE,9,26,17.59,4
16,Chris Godwin,3,WR,8,42,17.82,6
17,Miles Sanders,3,RB,7,47,18.21,8
18,Kenyan Drake,3,RB,8,50,18.93,8
19,Josh Jacobs,3,RB,6,65,19.12,7
20,George Kittle,3,TE,8,46,20.65,5
21,Kenny Golladay,3,WR,9,42,21.74,5
22,Aaron Jones,3,RB,9,39,21.76,6
23,Austin Ekeler,4,RB,7,78,24.24,8
24,Allen Robinson,4,WR,10,75,25.87,9
25,Mike Evans,4,WR,13,80,26.62,7
26,Patrick Mahomes,4,QB,4,61,26.96,8
27,Lamar Jackson,4,QB,10,65,28.97,8
28,JuJu Smith-Schuster,5,WR,14,147,30.99,9
29,Amari Cooper,5,WR,15,60,31.4,8
30,Adam Thielen,5,WR,16,149,32.81,9
31,Odell Beckham Jr.,5,WR,12,143,33.31,11
32,D.J. Moore,5,WR,15,72,33.57,10
33,Todd Gurley,5,RB,14,78,34.66,10
34,Chris Carson,5,RB,10,85,35.68,10
35,Leonard Fournette,6,RB,8,113,38.26,13
36,A.J. Brown,6,WR,16,166,38.94,12
37,Calvin Ridley,6,WR,16,148,39.5,11
38,Robert Woods,6,WR,20,142,40.37,13
39,James Conner,6,RB,19,134,41.38,11
40,Melvin Gordon,6,RB,14,137,41.75,12
41,Cooper Kupp,6,WR,16,145,41.9,12
42,Mark Andrews,6,TE,21,62,43.34,8
43,Le'Veon Bell,6,RB,10,117,44.54,11
44,David Johnson,7,RB,26,142,46.47,11
45,Tyler Lockett,7,WR,28,150,48.34,11
46,Zach Ertz,7,TE,23,78,48.6,8
47,Jonathan Taylor,7,RB,20,177,50.43,22
48,D.J. Chark,7,WR,28,169,50.43,12
49,Mark Ingram II,7,RB,18,140,51.15,14
50,Keenan Allen,8,WR,25,170,52.46,13
51,Terry McLaurin,8,WR,24,165,53.43,13
52,Courtland Sutton,8,WR,24,167,53.46,18
53,David Montgomery,8,RB,17,166,53.66,14
54,D.K. Metcalf,8,WR,30,160,55.1,15
55,Dak Prescott,8,QB,14,89,57.41,9
56,DeVante Parker,8,WR,25,161,57.6,13
57,Darren Waller,9,TE,33,157,59.38,14
58,Devin Singletary,9,RB,12,148,59.79,16
59,Russell Wilson,9,QB,15,84,61.22,9
60,T.Y. Hilton,9,WR,17,175,62.91,20
61,Kyler Murray,9,QB,8,89,62.99,8
62,Stefon Diggs,9,WR,29,171,64.12,15
63,Raheem Mostert,9,RB,31,179,64.12,20
64,Deshaun Watson,9,QB,34,102,64.51,9
65,D'Andre Swift,10,RB,36,178,66.97,23
66,Kareem Hunt,10,RB,35,187,69.75,22
67,Cam Akers,10,RB,34,180,71.6,27
68,A.J. Green,11,WR,35,181,74.18,20
69,Jarvis Landry,11,WR,30,172,74.59,15
70,Josh Allen,11,QB,42,113,75.87,13
71,Tyler Boyd,11,WR,40,174,76.4,13
72,Evan Engram,11,TE,46,186,76.46,23
73,Matt Ryan,11,QB,26,111,77.69,12
74,Michael Gallup,11,WR,52,177,79.56,16
75,Julian Edelman,11,WR,33,194,80.32,21
76,Marquise Brown,11,WR,29,191,80.46,19
77,Hunter Henry,12,TE,38,150,82.16,22
78,Tyler Higbee,12,TE,43,164,82.99,21
79,Marvin Jones,12,WR,52,196,86.34,13
80,Ronald Jones II,12,RB,44,190,87.12,29
81,Carson Wentz,12,QB,50,155,87.54,13
82,Drew Brees,12,QB,37,124,87.97,15
83,Will Fuller,13,WR,50,193,93.41,27
84,Tom Brady,13,QB,44,166,93.51,18
