Christian McCaffrey,CAR,RB1,5,5
Saquon Barkley,NYG,RB2,5,5
Ezekiel Elliott,DAL,RB3,7,7
Derrick Henry,TEN,RB6,23,23
Dalvin Cook,MIN,RB5,14,14
Alvin Kamara,NO,RB4,50,50
Michael Thomas,NO,WR1,28,28
Davante Adams,GB,WR2,19,19
Tyreek Hill,KC,WR3,24,24
Josh Jacobs,LV,RB10,24,24
Julio Jones,ATL,WR4,34,34
Joe Mixon,CIN,RB7,79,79
Miles Sanders,PHI,RB8,29,29
Nick Chubb,CLE,RB11,67,67
Aaron Jones,GB,RB13,26,26
Kenyan Drake,ARI,RB12,42,42
Clyde Edwards-Helaire,KC,RB9,47,47
DeAndre Hopkins,ARI,WR5,50,50
Travis Kelce,KC,TE1,65,65
George Kittle,SF,TE2,46,46
Chris Godwin,TB,WR6,42,42
Kenny Golladay,DET,WR7,39,39
Mike Evans,TB,WR9,78,78
Austin Ekeler,LAC,RB14,75,75
Allen Robinson,CHI,WR8,80,80
Leonard Fournette,JAC,RB17,61,61
Amari Cooper,DAL,WR12,65,65
Adam Thielen,MIN,WR14,147,147
Odell Beckham Jr.,CLE,WR13,60,60
Lamar Jackson,BAL,QB2,149,149
Patrick Mahomes,KC,QB1,143,143
Chris Carson,SEA,RB15,72,72
James Conner,PIT,RB18,78,78
Calvin Ridley,ATL,WR17,85,85
Cooper Kupp,LAR,WR18,113,113
JuJu Smith-Schuster,PIT,WR10,166,166
Melvin Gordon,DEN,RB19,148,148
Robert Woods,LAR,WR15,142,142
A.J. Brown,TEN,WR16,134,134
Le'Veon Bell,NYJ,RB20,137,137
D.J. Moore,CAR,WR11,145,145
Mark Andrews,BAL,TE3,62,62
David Johnson,HOU,RB21,117,117
Todd Gurley,ATL,RB16,142,142
Tyler Lockett,SEA,WR19,150,150
Zach Ertz,PHI,TE4,78,78
Terry McLaurin,WAS,WR20,177,177
D.J. Chark,JAC,WR21,169,169
Mark Ingram II,BAL,RB22,140,140
Keenan Allen,LAC,WR22,170,170
David Montgomery,CHI,RB23,165,165
T.Y. Hilton,IND,WR26,167,167
Courtland Sutton,DEN,WR23,166,166
Jonathan Taylor,IND,RB24,160,160
Dak Prescott,DAL,QB3,89,89
Devin Singletary,BUF,RB25,161,161
Darren Waller,LV,TE5,157,157
Kyler Murray,ARI,QB4,148,148
